iter	Passed	Remaining
427	1749	2337
428	1752	2332
429	1755	2326
430	1759	2322
431	1762	2317
432	1765	2311
433	1767	2305
434	1770	2299
435	1774	2295
436	1777	2290
437	1780	2284
438	1783	2279
439	1786	2274
440	1790	2270
441	1793	2264
442	1796	2258
443	1799	2253
444	1802	2248
445	1807	2245
446	1810	2239
447	1813	2234
448	1815	2228
449	1820	2224
450	1823	2219
451	1826	2214
452	1830	2209
453	1834	2206
454	1837	2201
455	1840	2195
456	1843	2190
457	1845	2184
458	1850	2180
459	1853	2176
460	1856	2170
461	1859	2165
462	1863	2161
463	1867	2156
464	1870	2151
465	1872	2146
466	1875	2140
467	1879	2136
468	1882	2131
469	1885	2126
470	1888	2120
471	1891	2115
472	1895	2111
473	1898	2106
474	1901	2101
475	1903	2095
476	1915	2099
477	1917	2094
478	1920	2089
479	1926	2086
480	1929	2081
481	1932	2076
482	1934	2071
483	1940	2068
484	1944	2064
485	1947	2059
486	1950	2054
487	1958	2054
488	1961	2050
489	1964	2044
490	1966	2039
491	1972	2036
492	1975	2031
493	1978	2026
494	1981	2021
495	1987	2019
496	1990	2014
497	1993	2009
498	1995	2003
499	2000	2000
500	2004	1996
501	2007	1991
502	2010	1986
503	2015	1983
504	2018	1978
505	2022	1974
506	2025	1969
507	2028	1964
508	2033	1961
509	2036	1956
510	2039	1951
511	2041	1946
512	2046	1942
513	2049	1937
514	2052	1933
515	2055	1927
516	2058	1922
517	2062	1919
518	2065	1913
519	2067	1908
520	2070	1903
521	2074	1899
522	2077	1894
523	2080	1889
524	2083	1884
525	2087	1881
526	2093	1878
527	2096	1874
528	2100	1870
529	2104	1866
530	2108	1862
531	2111	1857
532	2114	1852
533	2116	1847
534	2121	1844
535	2124	1839
536	2127	1834
537	2130	1829
538	2133	1824
539	2136	1820
540	2140	1815
541	2142	1810
542	2145	1805
543	2151	1803
544	2154	1798
545	2157	1793
546	2160	1789
547	2168	1788
548	2171	1784
549	2174	1779
550	2177	1774
551	2183	1772
552	2186	1767
553	2189	1762
554	2192	1758
555	2201	1757
556	2204	1753
557	2207	1748
558	2215	1748
559	2218	1743
560	2221	1738
561	2225	1734
562	2228	1729
563	2231	1725
564	2234	1720
565	2237	1715
566	2241	1711
567	2244	1707
568	2247	1702
569	2250	1697
570	2253	1693
571	2261	1692
572	2264	1687
573	2267	1683
574	2273	1680
575	2276	1676
576	2280	1671
577	2283	1667
578	2289	1664
579	2292	1660
580	2296	1655
581	2299	1651
582	2306	1649
583	2309	1645
584	2312	1640
585	2317	1637
586	2322	1633
587	2326	1629
588	2329	1625
589	2334	1622
590	2338	1618
591	2341	1613
592	2344	1609
593	2348	1605
594	2352	1600
595	2365	1603
596	2371	1600
597	2374	1596
598	2382	1594
599	2386	1590
600	2389	1586
601	2396	1584
602	2402	1581
603	2414	1583
604	2421	1580
605	2431	1580
606	2435	1576
607	2440	1573
608	2447	1571
609	2453	1568
610	2461	1566
611	2464	1562
612	2467	1558
613	2473	1555
614	2476	1550
615	2479	1545
616	2483	1541
617	2491	1540
618	2495	1536
619	2499	1531
620	2503	1528
621	2508	1524
622	2511	1519
623	2515	1515
624	2522	1513
625	2525	1508
626	2528	1504
627	2537	1502
628	2540	1498
629	2543	1493
630	2546	1489
631	2551	1485
632	2554	1481
633	2557	1476
634	2560	1471
635	2568	1470
636	2571	1465
637	2575	1461
638	2582	1458
639	2585	1454
640	2590	1450
641	2598	1448
642	2601	1444
643	2605	1440
644	2615	1439
645	2618	1434
646	2621	1430
647	2629	1428
648	2632	1423
649	2635	1419
650	2639	1414
651	2643	1410
652	2646	1406
653	2650	1402
654	2657	1399
655	2660	1395
656	2664	1390
657	2674	1390
658	2678	1385
659	2687	1384
660	2690	1380
661	2695	1376
662	2705	1375
663	2709	1371
664	2712	1366
665	2718	1363
666	2722	1359
667	2725	1354
668	2730	1351
669	2734	1346
670	2737	1342
671	2740	1337
672	2747	1334
673	2751	1330
674	2754	1326
675	2758	1321
676	2763	1318
677	2767	1314
678	2771	1310
679	2777	1306
680	2780	1302
681	2783	1297
682	2786	1293
683	2798	1292
684	2810	1292
685	2814	1288
686	2832	1290
687	2841	1288
688	2844	1284
689	2848	1279
690	2855	1276
691	2858	1272
692	2861	1267
693	2866	1264
694	2922	1282
695	2926	1278
696	2954	1284
697	2959	1280
698	2962	1275
699	2968	1272
700	2987	1274
701	2991	1270
702	2996	1266
703	3000	1261
704	3018	1263
705	3029	1261
706	3035	1258
707	3049	1257
708	3053	1253
709	3057	1248
710	3068	1247
711	3071	1242
712	3078	1239
713	3082	1234
714	3086	1230
715	3095	1227
716	3100	1223
717	3112	1222
718	3116	1218
719	3131	1217
720	3150	1219
721	3162	1217
722	3166	1213
723	3170	1208
724	3174	1204
725	3178	1199
726	3187	1197
727	3195	1193
728	3202	1190
729	3208	1186
730	3213	1182
731	3220	1179
732	3228	1176
733	3236	1173
734	3240	1168
735	3243	1163
736	3249	1159
737	3252	1154
738	3256	1149
739	3265	1147
740	3270	1142
741	3272	1138
742	3282	1135
743	3286	1130
744	3289	1125
745	3294	1121
746	3298	1117
747	3301	1112
748	3304	1107
749	3314	1104
750	3317	1100
751	3322	1095
752	3327	1091
753	3333	1087
754	3344	1085
755	3349	1081
756	3373	1082
757	3387	1081
758	3412	1083
759	3424	1081
760	3428	1076
761	3434	1072
762	3438	1068
763	3459	1068
764	3466	1064
765	3472	1060
766	3476	1055
767	3484	1052
768	3488	1048
769	3493	1043
770	3502	1040
771	3506	1035
772	3509	1030
773	3518	1027
774	3521	1022
775	3553	1025
776	3558	1021
777	3569	1018
778	3574	1013
779	3583	1010
780	3588	1006
781	3600	1003
782	3604	998
783	3611	994
784	3615	990
785	3618	985
786	3622	980
787	3628	976
788	3632	971
789	3635	966
790	3643	962
791	3649	958
792	3659	955
793	3664	950
794	3670	946
795	3676	942
796	3680	937
797	3687	933
798	3691	928
799	3695	923
800	3702	919
801	3706	915
802	3709	910
803	3714	905
804	3720	901
805	3724	896
806	3746	896
807	3752	891
808	3757	887
809	3764	883
810	3769	878
811	3797	879
812	3803	874
813	3818	872
814	3836	870
815	3843	866
816	3848	862
817	3870	861
818	3882	857
819	3886	853
820	3898	850
821	3903	845
822	3913	841
823	3926	838
824	3930	833
825	3935	829
826	3944	825
827	3949	820
828	3958	816
829	3962	811
830	3968	807
831	3974	802
832	3979	797
833	3993	794
834	4003	791
835	4007	786
836	4011	781
837	4022	777
838	4026	772
839	4030	767
840	4035	763
841	4039	757
842	4052	754
843	4055	749
844	4060	744
845	4068	740
846	4071	735
847	4077	730
848	4081	726
849	4084	720
850	4088	715
851	4094	711
852	4098	706
853	4102	701
854	4108	696
855	4113	691
856	4116	686
857	4119	681
858	4127	677
859	4131	672
860	4134	667
861	4139	662
862	4143	657
863	4179	657
864	4187	653
865	4210	651
866	4216	646
867	4227	642
868	4246	640
869	4257	636
870	4262	631
871	4270	626
872	4275	621
873	4280	617
874	4285	612
875	4289	607
876	4296	602
877	4301	597
878	4305	592
879	4311	587
880	4316	583
881	4319	577
882	4325	573
883	4330	568
884	4333	563
885	4338	558
886	4344	553
887	4348	548
888	4352	543
889	4359	538
890	4363	533
891	4367	528
892	4376	524
893	4380	519
894	4383	514
895	4388	509
896	4392	504
897	4395	499
898	4402	494
899	4409	489
900	4412	484
901	4418	480
902	4422	475
903	4425	469
904	4428	464
905	4434	460
906	4438	455
907	4443	450
908	4450	445
909	4456	440
910	4460	435
911	4467	431
912	4471	426
913	4475	421
914	4480	416
915	4484	411
916	4502	407
917	4507	402
918	4512	397
919	4515	392
920	4518	387
921	4523	382
922	4527	377
923	4531	372
924	4535	367
925	4541	362
926	4545	357
927	4548	352
928	4554	348
929	4558	343
930	4561	338
931	4564	333
932	4569	328
933	4574	323
934	4577	318
935	4582	313
936	4586	308
937	4589	303
938	4592	298
939	4597	293
940	4600	288
941	4603	283
942	4607	278
943	4611	273
944	4615	268
945	4619	263
946	4622	258
947	4627	253
948	4631	248
949	4634	243
950	4638	238
951	4645	234
952	4672	230
953	4678	225
954	4699	221
955	4715	217
956	4725	212
957	4729	207
958	4743	202
959	4749	197
960	4762	193
961	4776	188
962	4779	183
963	4782	178
964	4787	173
965	4790	168
966	4794	163
967	4799	158
968	4804	153
969	4808	148
970	4813	143
971	4820	138
972	4823	133
973	4826	128
974	4830	123
975	4834	118
976	4837	113
977	4840	108
978	4868	104
979	4872	99
980	4883	94
981	4898	89
982	4902	84
983	4918	79
984	4926	75
985	4930	70
986	4933	64
987	4939	59
988	4950	55
989	4961	50
990	4964	45
991	4996	40
992	4999	35
993	5007	30
994	5011	25
995	5015	20
996	5027	15
997	5032	10
998	5046	5
999	5056	0
